date,city,mean_rad,temp_max,rad_rolling,temp_rolling
2010-11-20,Agadir,6.18072,21.71,6.079353333333333,22.04666666666668
2010-11-21,Agadir,5.81225,22.63,6.071926666666666,22.23666666666668
2010-11-22,Agadir,6.60726,20.79,6.200076666666667,21.71000000000001
2010-11-23,Agadir,6.55334,21.38,6.324283333333333,21.60000000000001
2010-11-24,Agadir,6.50143,21.76,6.554010000000001,21.310000000000016
2010-11-25,Agadir,4.71678,21.9,5.923849999999999,21.68000000000001
2010-11-26,Agadir,0.98147,21.27,4.066559999999999,21.643333333333345
2010-11-27,Agadir,1.52231,18.54,2.406853333333333,20.57000000000001
2010-11-28,Agadir,2.23584,18.69,1.5798733333333328,19.50000000000001
2010-11-29,Agadir,0.56112,18.25,1.439756666666666,18.49333333333335
2010-11-30,Agadir,1.82977,18.19,1.5422433333333327,18.376666666666683
2010-12-01,Agadir,6.251519999999999,18.09,2.8808033333333327,18.17666666666668
2010-12-02,Agadir,6.86709,19.01,4.9827933333333325,18.43000000000001
2010-12-03,Agadir,6.08167,18.3,6.400093333333332,18.466666666666683
2010-12-04,Agadir,6.26032,23.46,6.4030266666666655,20.25666666666668
2010-12-05,Agadir,5.89999,24.6,6.080659999999999,22.12000000000001
2010-12-06,Agadir,4.33282,23.94,5.4977100000000005,24.000000000000018
2010-12-07,Agadir,2.39289,22.29,4.208566666666666,23.610000000000014
2010-12-08,Agadir,1.85934,23.49,2.861683333333333,23.240000000000013
2010-12-09,Agadir,5.36358,26.05,3.205269999999999,23.943333333333342
2010-12-10,Agadir,6.23665,26.49,4.486523333333333,25.343333333333348
2010-12-11,Agadir,5.75056,26.5,5.783596666666667,26.34666666666668
2010-12-12,Agadir,2.25118,24.12,4.74613,25.703333333333347
2010-12-13,Agadir,5.728,20.87,4.576579999999999,23.830000000000016
2010-12-14,Agadir,6.19761,22.56,4.725596666666665,22.51666666666668
2010-12-15,Agadir,5.253100000000001,24.74,5.726236666666666,22.723333333333347
2010-12-16,Agadir,6.0555900000000005,24.71,5.8354333333333335,24.003333333333345
2010-12-17,Agadir,3.61006,25.93,4.972916666666666,25.12666666666668
2010-12-18,Agadir,1.96737,20.59,3.8776733333333326,23.74333333333335
2010-12-19,Agadir,4.70245,19.04,3.426626666666666,21.853333333333342
2010-12-20,Agadir,5.30062,21.47,3.990146666666666,20.36666666666668
2010-12-21,Agadir,3.0519300000000005,19.54,4.351666666666666,20.01666666666668
2010-12-22,Agadir,3.03019,18.3,3.794246666666666,19.77000000000001
2010-12-23,Agadir,6.41854,18.27,4.166886666666667,18.703333333333347
2010-12-24,Agadir,6.381,17.34,5.276576666666666,17.970000000000013
2010-12-25,Agadir,6.47426,18.09,6.424599999999999,17.900000000000016
2010-12-26,Agadir,6.4754700000000005,18.38,6.443576666666666,17.93666666666668
2010-12-27,Agadir,6.43093,21.04,6.46022,19.17000000000001
2010-12-28,Agadir,3.68057,20.04,5.52899,19.82000000000001
2010-12-29,Agadir,6.218979999999999,21.14,5.443493333333333,20.740000000000013
2010-12-30,Agadir,3.85209,19.66,4.583879999999999,20.28000000000001
2010-12-31,Agadir,6.09753,19.7,5.389533333333333,20.16666666666668
2011-01-01,Agadir,6.411449999999999,19.13,5.453689999999999,19.49666666666668
2011-01-02,Agadir,5.7561800000000005,19.04,6.088386666666666,19.290000000000013
2011-01-03,Agadir,6.43523,19.86,6.2009533333333335,19.343333333333348
2011-01-04,Agadir,5.73737,21.8,5.97626,20.23333333333335
2011-01-05,Agadir,6.61221,21.91,6.261603333333333,21.190000000000012
2011-01-06,Agadir,6.536980000000001,22.23,6.29552,21.98000000000001
2011-01-07,Agadir,6.34304,23.0,6.49741,22.380000000000013
2011-01-08,Agadir,6.5372,22.16,6.472406666666665,22.46333333333335
2011-01-09,Agadir,6.70132,19.95,6.527186666666665,21.703333333333347
2011-01-10,Agadir,6.618510000000001,18.48,6.619009999999999,20.19666666666668
2011-01-11,Agadir,6.66108,21.67,6.660303333333334,20.03333333333335
2011-01-12,Agadir,6.73828,22.11,6.672623333333333,20.753333333333348
2011-01-13,Agadir,6.74076,22.02,6.713373333333332,21.933333333333348
2011-01-14,Agadir,6.7223500000000005,22.23,6.733796666666666,22.12000000000001
2011-01-15,Agadir,5.836390000000001,21.95,6.433166666666666,22.06666666666668
2011-01-16,Agadir,6.52955,20.64,6.3627633333333335,21.606666666666683
2011-01-17,Agadir,6.74079,20.75,6.36891,21.113333333333347
2011-01-18,Agadir,6.6873000000000005,20.48,6.652546666666666,20.623333333333346
2011-01-19,Agadir,6.84285,21.08,6.756979999999999,20.77000000000001
2011-01-20,Agadir,6.76193,22.25,6.764026666666666,21.27000000000001
2011-01-21,Agadir,6.87395,23.31,6.826243333333333,22.21333333333335
2011-01-22,Agadir,3.79753,20.53,5.811136666666666,22.030000000000012
2011-01-23,Agadir,5.796600000000001,17.54,5.4893600000000005,20.46000000000001
2011-01-24,Agadir,4.13329,16.72,4.575806666666666,18.263333333333343
2011-01-25,Agadir,4.60908,22.59,4.846323333333333,18.950000000000014
2011-01-26,Agadir,4.590409999999999,15.68,4.444259999999999,18.330000000000016
2011-01-27,Agadir,3.65996,16.53,4.286483333333332,18.26666666666668
2011-01-28,Agadir,6.124149999999999,16.77,4.791506666666666,16.326666666666682
2011-01-29,Agadir,6.63912,18.04,5.474409999999999,17.113333333333347
2011-01-30,Agadir,6.85563,17.8,6.539633333333332,17.53666666666668
2011-01-31,Agadir,7.49311,17.3,6.995953333333333,17.71333333333335
2011-02-01,Agadir,7.27259,17.44,7.20711,17.513333333333346
2011-02-02,Agadir,7.1464300000000005,17.28,7.304043333333331,17.340000000000014
2011-02-03,Agadir,7.087599999999999,17.32,7.168873333333333,17.346666666666682
2011-02-04,Agadir,7.223529999999999,18.33,7.152519999999999,17.64333333333335
2011-02-05,Agadir,7.167889999999999,18.38,7.159673333333331,18.010000000000016
2011-02-06,Agadir,7.1575,17.48,7.182973333333332,18.063333333333347
2011-02-07,Agadir,7.20757,17.35,7.177653333333332,17.736666666666682
2011-02-08,Agadir,7.26645,17.07,7.210506666666665,17.300000000000015
2011-02-09,Agadir,7.21708,19.66,7.230366666666666,18.02666666666668
2011-02-10,Agadir,4.09335,20.47,6.192293333333332,19.06666666666668
2011-02-11,Agadir,7.06141,20.04,6.123946666666666,20.056666666666683
2011-02-12,Agadir,7.31301,17.08,6.155923333333333,19.196666666666683
2011-02-13,Agadir,6.57466,17.03,6.9830266666666665,18.05000000000001
2011-02-14,Agadir,5.40616,17.54,6.431276666666666,17.21666666666668
2011-02-15,Agadir,5.685929999999999,16.95,5.888916666666666,17.173333333333346
2011-02-16,Agadir,7.267180000000001,18.05,6.1197566666666665,17.513333333333346
2011-02-17,Agadir,7.1951,19.34,6.716069999999999,18.113333333333347
2011-02-18,Agadir,7.40906,19.62,7.290446666666667,19.003333333333348
2011-02-19,Agadir,6.9870600000000005,21.22,7.197073333333333,20.060000000000016
2011-02-20,Agadir,7.381729999999999,20.78,7.259283333333332,20.540000000000017
2011-02-21,Agadir,7.56435,23.64,7.311046666666666,21.880000000000013
2011-02-22,Agadir,7.734599999999999,25.87,7.560226666666666,23.430000000000017
2011-02-23,Agadir,7.76617,24.21,7.688373333333332,24.57333333333335
2011-02-24,Agadir,7.289239999999999,22.69,7.596669999999999,24.25666666666668
2011-02-25,Agadir,6.34062,21.77,7.132009999999998,22.89000000000001
2011-02-26,Agadir,7.63537,24.71,7.088409999999999,23.056666666666683
2011-02-27,Agadir,7.63264,23.24,7.202876666666666,23.240000000000013
2011-02-28,Agadir,5.52892,23.63,6.93231,23.860000000000014
2011-03-01,Agadir,6.38783,23.67,6.516463333333333,23.51333333333335
2011-03-02,Agadir,6.495940000000001,21.73,6.137563333333333,23.010000000000016
2011-03-03,Agadir,7.54029,18.05,6.80802,21.150000000000016
2011-03-04,Agadir,7.38734,17.14,7.141189999999999,18.973333333333347
2011-03-05,Agadir,6.89071,16.52,7.27278,17.23666666666668
2011-03-06,Agadir,7.00978,18.49,7.0959433333333335,17.383333333333347
2011-03-07,Agadir,7.3522,20.66,7.084229999999999,18.556666666666683
2011-03-08,Agadir,7.1345,18.81,7.165493333333333,19.32000000000001
2011-03-09,Agadir,4.653449999999999,18.71,6.38005,19.39333333333335
2011-03-10,Agadir,2.0867,21.06,4.624883333333332,19.52666666666668
2011-03-11,Agadir,2.38629,19.38,3.0421466666666657,19.71666666666668
2011-03-12,Agadir,3.62096,15.74,2.6979833333333327,18.72666666666668
2011-03-13,Agadir,3.61491,17.6,3.207386666666666,17.57333333333335
2011-03-14,Agadir,3.19662,13.91,3.477496666666666,15.750000000000014
2011-03-15,Agadir,6.58194,13.68,4.464489999999999,15.063333333333349
2011-03-16,Agadir,6.50725,15.75,5.428603333333332,14.44666666666668
2011-03-17,Agadir,8.211,17.98,7.100063333333334,15.803333333333349
2011-03-18,Agadir,8.19342,23.44,7.637223333333334,19.056666666666683
2011-03-19,Agadir,7.850890000000001,25.86,8.085103333333334,22.42666666666668
2011-03-20,Agadir,7.60184,26.45,7.88205,25.25000000000001
2011-03-21,Agadir,7.66877,26.51,7.707166666666666,26.27333333333335
2011-03-22,Agadir,6.97238,27.97,7.41433,26.97666666666668
2011-03-23,Agadir,7.04657,20.17,7.22924,24.883333333333344
2011-03-24,Agadir,7.65954,22.3,7.226163333333332,23.48000000000001
2011-03-25,Agadir,7.8083,23.38,7.504803333333332,21.950000000000017
